"Site","TIMESTAMP","DO_mgL","FDOM_RFU","Chlorophyll_ugL","Conductivity","DO_saturation","Salinity_PPT","TDS_mgL","pH","Temp_C","Depth_m"
"DOCK",2026-01-18 17:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 17:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 17:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 17:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 17:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 18:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 19:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 20:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 21:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 22:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-18 23:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 00:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 01:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 02:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 03:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 04:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 05:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 06:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 07:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 08:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 09:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 10:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 11:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 12:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 13:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 14:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 15:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 16:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 17:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 18:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 19:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 20:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOCK",2026-01-19 21:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
